Word,Meaning
गड,Fort
गवत,Grass
गळ,Hook/Leaking
गज,Elephant/Rod
गर,Pulp
गगन,Sky
गप,Quiet
गमत,Fun
गठन,Construction
गठण,Plumping
गाल,Cheek
गाठ,Knot
गाव,Village
गाळ,Mud/Silt
गाज,Roar
गागर,Water pot
गाजर,Carrot
गावक,Villager
गाभ,Core
गाद,Mattress
गिच,Crowded
गिळ,To swallow
गिट,Grit
गिध,Vulture
गिळण,Swallowing
गिम,Summer (dialect)
गिळत,Swallowing
गिळस,To engulf
गिव,To search (archaic)
गिटक,Small piece
गीत,Song
गीर,A breed of cow
गीतप,Singing
गीळ,Swallow (variant)
गीळण,Act of swallowing
गीळत,In the act of swallowing
गीम,Hot weather
गीरद,Dust (Persian loan)
गीळस,Swallowing
गीतण,To chant
गुळ,Jaggery
गुण,Quality/Trait
गुप,Quiet/Secret
गुद,Anus
गुब,Swelling
गुंत,Tangle
गुगल,Incense
गुदर,To happen
गुम,Lost/Silent
गुट,Small ball
गेल,Went
गेळ,A round fruit
गेसर,A type of walk
गेच,Hair (dialect)
गेब,Hidden (slang)
गेव,To take (archaic)
गेरण,A red earth
गेरक,Circle/Girth
गेळण,To filter
गेलत,Having gone
गोल,Round/Circle
गोद,Lap
गोण,Sack
गोप,Cowherd/Chain
गोड,Sweet
गोम,Centipede/Flaw
गोठ,Cowshed
गोळ,Tablet/Ball
गोचर,Tick
गोमट,Sweet/Fair
