Word,Meaning
पण,But/Condition
पळ,Moment/Run
पर,But/Feather
पदर,End of saree
पवन,Wind
पड,To fall
पच,To digest
पकड,Grip/To catch
परत,Again/Return
पटल,Screen/Layer
पान,Leaf
पास,Near/From
पाळ,To follow/Edge
पाप,Sin
पाच,Five/Emerald
पाथर,Stone
पागळ,To melt/leak
पाव,Quarter/Bread
पाठ,Back
पाळण,To nurture
पिठ,Flour (variant)
पिळ,To twist/wring
पिक,Crop
पिस,Feather
पिकट,Pale
पिळण,Twisting
पिकण,Ripening
पिकत,Ripening
पिळत,Wringing
पिसळ,To go mad
पीठ,Flour
पीळ,Twist/Strength
पीक,Crop
पीर,Saint
पीस,Feather
पीट,To beat (variant)
पीळण,Act of twisting
पीळत,Twisting
पीच,Squeeze
पीकण,Act of ripening
पुढ,Front
पुळ,Blister
पुस,To wipe
पुत,Son (formal)
पुर,Flood/Town
पुसण,Wiping
पुळण,Sandbank
पुडक,Small packet
पुड,Packet/Side
पुढल,Forward
पेठ,Marketplace
पेर,To sow
पेळ,To balance/manage
पेच,Dilemma/Screw
पेव,Abundance/Cellar
पेण,To rest
पेरप,Sowing
पेळण,Balancing
पेरण,Sowing
पेळत,Managing
पोत,Texture/Quality
पोट,Stomach
पोळ,Flatbread/Bull
पोह,To swim (root)
पोकळ,Hollow
पोहर,Bucket/To dig
पोपट,Parrot
पोर,Child
पोस,To nurture
पोटल,Belly (archaic)
पंख,Wing
पंत,Title/Minister
पंथ,Path/Sect
पंच,Five (council)
पंढर,White (archaic)
पंजर,Cage
पंटर,Companion
पंतण,To think
पंथक,Follower
पंज,Great (grandfather)
